route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color
412,NJB,412,Sewell - Glassboro - Philadelphia,3,,
413,NJB,413,Camden - Mt. Holly - Florence,3,,
414,NJB,414,Philadelphia - Moorestown,3,,
417,NJB,417,Willingboro Express,3,,
418,NJB,418,Trenton Express,3,,
419,NJB,419,Camden-Pennsauken Transit Center-Riverside,3,,
44,NJB,44,Tremont - Central Avenue - Newark Penn Station,3,,
450,NJB,450,Cherry Hill Mall - Audubon -Camden,3,,
451,NJB,451,Camden-Voorhees Town Center,3,,
452,NJB,452,Camden - 36th St. Station,3,,
453,NJB,453,Ferry Avenue PATCO - Camden,3,,
455,NJB,455,Cherry Hill Mall-Woodbury-Paulsboro,3,,
457,NJB,457,Moorestown Mall - Camden,3,,
459,NJB,459,Voorhees Town Ctr-Camden County Coll.-Avandale P/R,3,,
463,NJB,463,Woodbury - Avandale Park/Ride,3,,
468,NJB,468,Penns Grove - Salem - Woodstown,3,,
48,NJB,48,Elizabeth - Woodbridge - Perth Amboy,3,,
5,NJB,5,Kinney,3,,
501,NJB,501,Atlantic City - Brigantine Beach,3,,
502,NJB,502,Atlantic City - Hamilton Mall - Atlantic/Cape C. C,3,,
504,NJB,504,Atlantic City - Ventnor Plaza - Margate,3,,
505,NJB,505,Atlantic City-Margate-Longport,3,,
507,NJB,507,Atlantic City - Ocean City,3,,
508,NJB,508,Atlantic City-Stockton College-Hamilton Mall,3,,
509,NJB,509,Atlantic City-Somers Point-Ocean City via New Road,3,,
52,NJB,52,Morris Avenue,3,,
529,NJB,529,Morris Metro Pull in to Pumps,3,,
530,NJB,530,Weekawken Taxi Oradell,3,,
531,NJB,531,Weehawken Taxi Westwood,3,,
532,NJB,532,Weehawken Taxi Wayne,3,,
534,NJB,534,Weehawken Taxi Ironbound 113/116,3,,
535,NJB,535,Weehawken Taxi Ironbound 114/117,3,,
539,NJB,539,Weehawken Taxi Howell,3,,
551,NJB,551,Philadelphia-Atlantic City,3,,
552,NJB,552,Cape May - Atlantic City,3,,
553,NJB,553,Upper Deerfield - Atlantic City,3,,
554,NJB,554,Lindenwold - PATCO - Atlantic City,3,,
555,NJB,555,Avandale-30th Street Philadelphia,3,,
559,NJB,559,Lakewood - Atlantic City,3,,
56,NJB,56,Elizabeth - Winfield,3,,
57,NJB,57,Tremley,3,,
58,NJB,58,Elizabeth - Kenilworth,3,,
59,NJB,59,Plainfield - Newark,3,,
6,NJB,6,Ocean Avenue - Journal Square,3,,
600,NJB,600,Trenton- Plainsboro (US 1 Corridor),3,,
601,NJB,601,College of New Jersey-Trenton-Hamilton Marketplace,3,,
603,NJB,603,Mercer Mall-Hamilton Square-Hamilton Marketplace,3,,
605,NJB,605,Montgomery - Princeton - Quaker Bridge Mall,3,,
606,NJB,606,Princeton - Mercerville - Hamilton Marketplace,3,,
607,NJB,607,Ewing - Trenton - Independence Plaza,3,,
608,NJB,608,Hamilton - Ewing,3,,
609,NJB,609,Ewing-Quaker Bridge Mall,3,,
610,NJB,610,Trenton Seasonal,3,,
611,NJB,611,Trenton-River View Plaza Circulator,3,,
612,NJB,612,Lawrence-West Windsor-Princeton Jct. Rail Sta.,3,,
613,NJB,613,Mercer Mall-Yardville- Hamilton Marketplace,3,,
619,NJB,619,Ewing - Mercer County College,3,,
62,NJB,62,Newark -  Elizabeth,3,,
624,NJB,624,Pennington - East Trenton,3,,
63,NJB,63,Lakewood - Jersey City - Weehawken Exp.,3,,
64,NJB,64,Lakewood - Jersey City - Weehawken,3,,
65,NJB,65,Newark - Somerville,3,,
66,NJB,66,Newark - Mountainside,3,,
67,NJB,67,Toms River - Lakewood - Newark,3,,
68,NJB,68,Old Bridge-East Brunswick-Jersey City -Weehawken,3,,
70,NJB,70,Newark - Livingston Mall,3,,
